id,mitochondria,Ychr,n_founders,funnel,origin
CC001/Unc,B,G,8,BECADHFG,UNC
CC002/Unc,G,F,8,GCDHEABF,UNC
CC003/Unc,E,D,8,EAGBHCFD,UNC
CC004/TauUnc,C,D,8,CAHGBFED,TAU
CC005_6018,D,E,8,DABCFGHE,TAU
CC005_711,D,E,8,DABCFGHE,TAU
CC006/TauUnc,G,E,8,GHFADCBE,TAU
CC007/Unc,B,D,8,BAECHGFD,UNC
CC008/GeniUnc,H,F,8,HEBACGDF,GENIAD
CC009/Unc,E,C,8,EBAGDFHC,UNC
CC010/GeniUnc,A,C,8,AEBGFDHC,GENIAD
CC011/Unc,E,C,8,EDBFAGHC,UNC
CC012/GeniUnc,B,A,8,BGCFEDHA,GENIAD
CC013/GeniUnc,E,E,7,EDCFHAGB,GENIAD
CC015/Unc,A,C,8,AEFGDBHC,UNC
CC016/GeniUnc,H,A,7,HBFEDCGA,GENIAD
CC017/Unc,C,B,8,CGHAFDEB,UNC
CC018/Unc,B,D,8,BCFAHGED,UNC
CC019/TauUnc,E,C,6,EABFDHGC,TAU
CC020/GeniUnc,G,B,8,GFHDEACB,GENIAD
CC021/Unc,G,B,8,GCFHDEAB,UNC
CC022/GeniUnc,A,G,8,AHDEFBCG,GENIAD
CC023/GeniUnc,D,A,8,DBHEGFCA,GENIAD
CC024/GeniUnc,A,D,8,ABFHECGD,GENIAD
CC025/GeniUnc,F,D,8,FECBGHAD,GENIAD
CC026/GeniUnc,F,E,7,FCDGAHBE,GENIAD
CC027/GeniUnc,F,B,8,FDCEAGHB,GENIAD
CC028/GeniUnc,E,F,8,EBDGACHF,GENIAD
CC029/Unc,H,E,8,HCDAFGBE,UNC
CC030/GeniUnc,F,C,8,FEAGBHDC,GENIAD
CC031/GeniUnc,D/A,B,6,AFECGBDH,GENIAD
CC032/GeniUnc,A/D,G,7,ADBCFEHG,GENIAD
CC033/GeniUnc,F,H,8,FECGABDH,GENIAD
CC034/Unc,H,D,8,HCGABEFD,UNC
CC035/Unc,F,A,8,FEGHCBDA,UNC
CC036/Unc,B,D,8,BFCEHAGD,UNC
CC037/TauUnc,C,D,6,CDHGFAEB,TAU
CC038/GeniUnc,C,F,8,CEDHGABF,GENIAD
CC039/Unc,G,H,8,GCDBAFEH,UNC
CC040/TauUnc,D,H,8,DACEGBFH,TAU
CC041/TauUnc,A/D,E,6,ABDGHCFE,TAU
CC042/GeniUnc,G,B,7,GCEAFHDB,GENIAD
CC043/GeniUnc,B,D,8,BHAGECFD,GENIAD
CC044/Unc,C,G,8,CDFBEHAG,UNC
CC045/GeniUnc,H,G,8,HBFCDEAG,GENIAD
CC046/Unc,G,B,8,GCDEFHAB,UNC
CC047/Unc,A,C,8,AFDGEBHC,UNC
CC049/TauUnc,B,F,8,BHCAEDGF,TAU
CC050/Unc,G,E,8,GHBDCAFE,UNC
CC051/TauUnc,A/D,C,6,ABDGHEFC,TAU
CC052/GeniUnc,H,E,8,HGFCDBAE,GENIAD
CC053/Unc,F,D,8,FCAEBGHD,UNC
CC055/TauUnc,G,C,8,GAEHDFBC,TAU
CC056/GeniUnc,C,E,6,CHAGEDFB,GENIAD
CC057/Unc,F,E,8,FHDAGCBE,UNC
CC058/Unc,C,F,8,CGDHEBAF,UNC
CC059/TauUnc,A/D,C,6,ABDFEHGC,TAU
CC060/Unc,E,B,8,EAFDGCHB,UNC
CC061/GeniUnc,D,F,8,DCEBHAGF,GENIAD
CC062/Unc,F,E,8,FHGBDCAE,UNC
CC063/Unc,F,A,8,FHEBCDGA,UNC
CC065/Unc,B,F,8,BDHEGCAF,UNC
CC068/TauUnc,G,B,8,GACEDFHB,TAU
CC070/TauUnc,G,E,8,GHFCDBAE,TAU
CC071/TauUnc,C,B,8,CHDFGAEB,TAU
CC072/TauUnc,D/A,E,6,AGBHCDFE,TAU
CC073/Unc,B,G,8,BEACHDFG,UNC
CC074/Unc,G,D,8,GHBAFECD,UNC
CC075/Unc,E,A,8,EBFGCHDA,UNC
CC076/Unc,C,A,8,CDHEBGFA,UNC
CC078/TauUnc,A,E,8,GDHEAFCB,TAU
CC079/TauUnc,A,H,8,GFDHABEC,TAU
CC080/TauUnc,F,D,8,CHGDFABE,TAU
CC081/Unc,C,F,8,CDBEGAHF,UNC
CC082/Unc,A,D,8,FEAHCBGD,UNC
CC083/Unc,H,F,8,HGADCEBF,UNC
CC084/TauUnc,A,E,6,AHDGBCFE,TAU
