#
# nrow 12385
# ncol 3
marker,chr,pos
JAX00631071,7,1.562385
JAX00148221,7,1.565216
JAX00631073,7,1.565718
JAX00631078,7,1.5677185
UNC070000382,7,1.6076545
UNC12367710,7,1.610669
UNC12370256,7,1.7098745
UNC12371610,7,1.757844
JAX00148224,7,1.768074
JAX00148227,7,1.7853665
JAX00631088,7,1.7887135
UNC070001815,7,1.798325
UNC12372829,7,1.800321
JAX00148231,7,1.8043525
JAX00631090,7,1.8054725
JAX00631097,7,1.8209755
JAX00148232,7,1.8242795
UNC12373496,7,1.833447
JAX00631112,7,1.9419585
JAX00148240,7,1.945175
JAX00148241,7,1.9454585
JAX00631114,7,1.9455805
JAX00631115,7,1.9464285
JAX00631116,7,1.9465845
JAX00148244,7,1.9663335
JAX00148247,7,1.981541
UNC12374525,7,1.9885305
JAX00148249,7,2.003824
JAX00631126,7,2.007562
JAX00631128,7,2.008707
JAX00148251,7,2.024072
JAX00148252,7,2.024472
JAX00148253,7,2.0248295
UNC12375156,7,2.025971
JAX00631138,7,2.044743
UNC12375684,7,2.046626
JAX00631147,7,2.0815
UNC12376566,7,2.096033
JAX00631155,7,2.097288
JAX00148266,7,2.1255455
UNC070002741,7,2.1366065
UNC12377259,7,2.144267
JAX00148270,7,2.145015
JAX00190001,7,2.1512375
JAX00631164,7,2.158189
JAX00631166,7,2.158475
JAX00631167,7,2.1600945
JAX00631170,7,2.1784115
JAX00631171,7,2.178719
JAX00631174,7,2.1914325
JAX00631176,7,2.197028
JAX00631181,7,2.2197945
JAX00631182,7,2.2212635
JAX00631183,7,2.2361545
JAX00148284,7,2.2395665
JAX00631185,7,2.2430505
JAX00631190,7,2.254144
JAX00631195,7,2.256851
JAX00631196,7,2.2570315
JAX00631197,7,2.2577855
JAX00631201,7,2.274903
UNC12380039,7,2.2759985
UNC070455799,7,2.298999
JAX00631210,7,2.311762
UNC12380978,7,2.3197525
JAX00148296,7,2.3235775
JAX00631216,7,2.3301
JAX00631217,7,2.3303365
JAX00631222,7,2.3364175
UNC12381586,7,2.34504
JAX00148301,7,2.3452075
JAX00148306,7,2.3807575
JAX00631240,7,2.388555
JAX00631243,7,2.38942
JAX00631255,7,2.4125605
UNC070876645,7,2.419505
JAX00631266,7,2.431502
JAX00148315,7,2.443583
JAX00631268,7,2.447085
JAX00631271,7,2.4500785
JAX00631274,7,2.451855
UNC12384210,7,2.452183
JAX00631275,7,2.4523815
JAX00631278,7,2.453738
JAX00631279,7,2.454838
JAX00631289,7,2.4659665
JAX00631290,7,2.4660375
JAX00631293,7,2.468857
JAX00631295,7,2.469739
JAX00631298,7,2.4706235
JAX00631306,7,2.487067
UNC12385212,7,2.4946155
JAX00631311,7,2.498999
JAX00148323,7,2.507544
JAX00148324,7,2.5080485
JAX00631321,7,2.5280925
JAX00631330,7,2.531054
JAX00231300,7,2.537007
JAX00631336,7,2.549018
JAX00148334,7,2.573659
JAX00631338,7,2.615328
UNC12387094,7,2.6183895
JAX00148341,7,2.624472
JAX00631341,7,2.6278975
JAX00631342,7,2.627913
JAX00631344,7,2.629925
JAX00631346,7,2.6371555
JAX00148343,7,2.643808
JAX00631348,7,2.6442395
UNC12388018,7,2.6596595
JAX00148348,7,2.6659885
JAX00631361,7,2.7214355
JAX00631376,7,2.781889
JAX00148371,7,2.8241915
JAX00631380,7,2.833639
JAX00631388,7,2.888645
JAX00631392,7,2.8888265
JAX00631399,7,2.9297025
JAX00190007,7,2.932646
JAX00631400,7,2.9337375
JAX00148388,7,2.9424845
JAX00148392,7,2.9814155
JAX00148393,7,2.981546
UNC070004479,7,2.988231
JAX00148400,7,3.02351
JAX00631412,7,3.0266435
JAX00631414,7,3.033748
JAX00631418,7,3.039589
JAX00148402,7,3.045023
JAX00148403,7,3.045244
JAX00631420,7,3.0460935
UNC12393002,7,3.0712515
JAX00631423,7,3.0792605
JAX00631425,7,3.080013
JAX00148407,7,3.0812725
JAX00231320,7,3.0834865
JAX00631428,7,3.1136495
JAX00631436,7,3.133042
JAX00631438,7,3.1392885
JAX00631439,7,3.140229
UNC12395307,7,3.1459305
JAX00631444,7,3.1485755
JAX00631445,7,3.1489485
JAX00631451,7,3.1643365
JAX00631456,7,3.169214
JAX00631458,7,3.1699675
JAX00631459,7,3.170348
JAX00631460,7,3.17176
backupUNC070886038,7,3.1723795
UNC12396268,7,3.1750355
JAX00148423,7,3.1834325
JAX00631468,7,3.1903065
UNC12397154,7,3.199218
JAX00231326,7,3.2060915
JAX00231327,7,3.206132
JAX00631483,7,3.211876
JAX00631484,7,3.212349
JAX00631491,7,3.239731
UNC12398366,7,3.239856
JAX00231329,7,3.2691745
JAX00231332,7,3.3137485
UNC12400258,7,3.3150225
JAX00631505,7,3.31863
JAX00631509,7,3.3229805
JAX00148444,7,3.325085
JAX00148445,7,3.3251225
JAX00631513,7,3.340334
UNC12400809,7,3.3483795
UNC12400911,7,3.3532465
UNC12400995,7,3.356572
UNC12401028,7,3.359593
UNC12401136,7,3.3665985
JAX00631529,7,3.3684225
JAX00148450,7,3.369456
UNC12401207,7,3.3698355
UNC12401245,7,3.372023
UNC12401354,7,3.3774255
UNC12401384,7,3.379283
JAX00231334,7,3.3811175
JAX00231335,7,3.381135
JAX00631534,7,3.3825765
JAX00148453,7,3.382605
UNC12401460,7,3.3831245
UNC12401516,7,3.3863215
UNC12401560,7,3.3898735
UNC12401582,7,3.391792
JAX00631539,7,3.3936775
UNC12401648,7,3.3951005
JAX00148455,7,3.3975385
UNC12401735,7,3.3987455
UNC12401831,7,3.403636
UNC12401900,7,3.4063565
UNC12401981,7,3.409535
JAX00631548,7,3.4107375
UNC12402068,7,3.4128085
JAX00631550,7,3.4155795
UNC12402112,7,3.4160935
UNC12402170,7,3.4186175
JAX00631552,7,3.4187095
UNC12402225,7,3.4215705
JAX00148458,7,3.42684
UNC12402262,7,3.4281975
