#
# nrow 8514
# ncol 3
marker,chr,pos
JAX00065867,16,1.584205
backupUNC160361454,16,1.7557035
JAX00412465,16,1.7899075
JAX00412474,16,1.844421
JAX00412475,16,1.8445315
JAX00412476,16,1.8500485
JAX00412477,16,1.85042
JAX00065890,16,1.8534155
JAX00065892,16,1.8537775
JAX00412478,16,1.853964
UNC160189591,16,1.8669105
JAX00412482,16,1.876002
JAX00412484,16,1.887374
JAX00065896,16,1.8875175
JAX00065897,16,1.888551
JAX00412486,16,1.891497
JAX00412487,16,1.891544
JAX00412488,16,1.891685
JAX00412490,16,1.908021
JAX00412491,16,1.908185
JAX00412496,16,1.9333835
JAX00065903,16,1.9381475
CEAJAX00412499,16,1.939315
JAX00412500,16,1.9411335
JAX00065905,16,1.9461485
JAX00412502,16,1.9506785
JAX00412505,16,1.964413
UNC26250076,16,1.9882135
JAX00412515,16,1.9893735
JAX00412517,16,1.9906295
JAX00412518,16,1.990978
JAX00412521,16,1.9950725
UNC160190026,16,1.9952945
JAX00412524,16,2.0006875
CEAJAX00065914,16,2.010544
JAX00412529,16,2.0243865
JAX00412534,16,2.0470545
JAX00412541,16,2.0680735
JAX00412544,16,2.0698
JAX00412547,16,2.079463
JAX00412548,16,2.0849105
JAX00412549,16,2.0932645
UNC26251504,16,2.0999135
JAX00208195,16,2.10992
JAX00065930,16,2.1128575
B6_16-004238020-S,16,2.11901
JAX00412556,16,2.126947
JAX00412559,16,2.1302895
JAX00065932,16,2.1310995
JAX00065933,16,2.135011
JAX00412561,16,2.1417195
UNC26252398,16,2.151895
JAX00065936,16,2.153071
JAX00412570,16,2.157363
JAX00412572,16,2.1586645
JAX00412573,16,2.158732
JAX00065940,16,2.168074
JAX00412578,16,2.169271
JAX00208198,16,2.1902145
JAX00412583,16,2.1908135
JAX00065942,16,2.192016
JAX00412586,16,2.1986915
JAX00065944,16,2.2115685
JAX00412595,16,2.2130375
JAX00412596,16,2.2137225
JAX00412602,16,2.219474
JAX00412603,16,2.220057
JAX00065948,16,2.228573
UNC26253762,16,2.2287035
backupUNC160364959,16,2.233432
UNC26254047,16,2.2466795
JAX00065952,16,2.2491715
JAX00208202,16,2.257223
UNC160190732,16,2.2602665
JAX00412620,16,2.2730255
JAX00412622,16,2.27602
JAX00412623,16,2.281973
JAX00412625,16,2.293833
JAX00412626,16,2.298178
JAX00065959,16,2.313868
JAX00065960,16,2.314515
UNC26255523,16,2.3284515
JAX00208206,16,2.332566
JAX00412638,16,2.338039
JAX00208209,16,2.3512365
JAX00412640,16,2.3525405
JAX00065969,16,2.370408
UNC26256357,16,2.380135
JAX00065971,16,2.392058
JAX00412643,16,2.392355
JAX00412647,16,2.4170975
JAX00065975,16,2.419416
JAX00065976,16,2.4221065
JAX00412649,16,2.425067
UNC160190867,16,2.427892
UNC26257149,16,2.431746
JAX00412653,16,2.4341155
JAX00065980,16,2.451435
JAX00065981,16,2.451691
JAX00412656,16,2.4534035
JAX00412657,16,2.455406
JAX00412662,16,2.469633
JAX00208215,16,2.470055
JAX00065985,16,2.480163
JAX00065988,16,2.497069
JAX00065989,16,2.5128765
JAX00065990,16,2.51301
JAX00065991,16,2.5147715
JAX00412674,16,2.529535
JAX00412675,16,2.533465
JAX00208219,16,2.5340765
JAX00412685,16,2.556188
UNC26259463,16,2.5597935
JAX00208222,16,2.566039
JAX00412687,16,2.5720585
JAX00065998,16,2.5729505
UNC26260015,16,2.579496
JAX00066001,16,2.58879
JAX00066003,16,2.5911585
JAX00412694,16,2.604704
JAX00412696,16,2.6096145
JAX00412699,16,2.6215165
JAX00412702,16,2.6238035
JAX00066009,16,2.624813
UNC26261374,16,2.6307355
JAX00412707,16,2.65455
JAX00412713,16,2.6674595
JAX00412716,16,2.6790235
JAX00412718,16,2.6855235
JAX00412719,16,2.6875535
JAX00412720,16,2.688717
JAX00066016,16,2.6889825
JAX00066017,16,2.69204
JAX00412723,16,2.692396
JAX00066020,16,2.707548
JAX00066021,16,2.709037
JAX00412727,16,2.7094305
JAX00412728,16,2.709603
UNC26263616,16,2.7098245
JAX00412733,16,2.7328615
JAX00066023,16,2.7328685
UNC26264492,16,2.737896
JAX00412738,16,2.7518775
JAX00412739,16,2.7534065
JAX00066028,16,2.769558
JAX00412742,16,2.781972
JAX00412747,16,2.798298
JAX00412750,16,2.802001
JAX00412751,16,2.804207
JAX00412752,16,2.8048765
UNC160000883,16,2.8088105
JAX00412755,16,2.81657
JAX00412759,16,2.8332225
JAX00066039,16,2.834364
JAX00412763,16,2.849125
JAX00066040,16,2.8505265
JAX00412765,16,2.852164
JAX00066042,16,2.8570425
JAX00412768,16,2.8681065
JAX00412770,16,2.8718825
UNC26268602,16,2.89327
JAX00412782,16,2.9002235
JAX00412784,16,2.9009505
JAX00412785,16,2.901762
JAX00412786,16,2.902302
JAX00412787,16,2.902726
JAX00412788,16,2.90911
JAX00412789,16,2.910581
JAX00066049,16,2.9107045
UNC26269470,16,2.9200825
JAX00412795,16,2.9240805
JAX00412796,16,2.9256925
JAX00412797,16,2.9275975
JAX00412800,16,2.929286
JAX00412806,16,2.9405155
UNC160003356,16,2.9468965
JAX00066056,16,2.9492125
JAX00412808,16,2.953912
JAX00412809,16,2.954012
JAX00066057,16,2.9551305
JAX00412811,16,2.958841
JAX00412820,16,2.96614
JAX00066058,16,2.9730885
JAX00066060,16,2.9765965
JAX00412825,16,2.9768
JAX00412827,16,2.9817635
JAX00412829,16,2.9829605
JAX00066061,16,2.9875505
JAX00412830,16,2.9895795
JAX00412831,16,2.9897285
JAX00412834,16,2.9933655
JAX00066063,16,2.9976825
JAX00412837,16,3.001007
backupUNC160192228,16,3.0076
JAX00412841,16,3.024447
JAX00412847,16,3.0363525
JAX00412848,16,3.0424485
JAX00412855,16,3.046984
JAX00066071,16,3.049645
UNC26273183,16,3.0545855
JAX00412859,16,3.0586375
JAX00412863,16,3.0690775
JAX00412864,16,3.069227
JAX00066075,16,3.0756545
JAX00412867,16,3.0769265
JAX00412868,16,3.0773545
UNC26274058,16,3.0865265
JAX00412871,16,3.09009
JAX00412878,16,3.1085635
JAX00412879,16,3.1087545
JAX00412882,16,3.110845
JAX00412884,16,3.1169675
JAX00066079,16,3.117421
JAX00066080,16,3.118122
JAX00412885,16,3.1198265
JAX00066084,16,3.1364145
JAX00412892,16,3.1515985
JAX00066087,16,3.1517985
JAX00412895,16,3.1609545
JAX00412896,16,3.161944
JAX00412897,16,3.163894
JAX00412899,16,3.1676215
JAX00412901,16,3.1682995
backuprs45761882,16,3.170482
JAX00066089,16,3.175378
JAX00412905,16,3.1827555
JAX00412906,16,3.186853
JAX00412915,16,3.2082485
JAX00412917,16,3.2099735
JAX00066094,16,3.211398
JAX00412918,16,3.21162
JAX00066095,16,3.212044
JAX00412921,16,3.213242
UNC26277751,16,3.2160785
JAX00412927,16,3.2195
JAX00412928,16,3.2266125
JAX00412929,16,3.2284595
JAX00066097,16,3.2286555
JAX00066098,16,3.2287045
JAX00412930,16,3.23231
JAX00412931,16,3.2323385
JAX00412932,16,3.23389
JAX00412933,16,3.2370035
JAX00412936,16,3.2411855
JAX00412937,16,3.24137
JAX00412938,16,3.2419425
JAX00412941,16,3.2474885
JAX00412943,16,3.250468
JAX00066102,16,3.2522735
UNC26279096,16,3.2638605
JAX00412950,16,3.2665435
JAX00412951,16,3.2672285
JAX00412955,16,3.2762155
JAX00066103,16,3.276269
JAX00066104,16,3.2762865
JAX00412956,16,3.276553
JAX00412957,16,3.2768255
JAX00412958,16,3.277299
JAX00412960,16,3.282061
JAX00412961,16,3.2825855
JAX00066108,16,3.2875285
JAX00412964,16,3.287549
JAX00188194,16,3.292677
JAX00412966,16,3.294751
JAX00412968,16,3.295738
JAX00412969,16,3.2959105
JAX00412970,16,3.2981965
JAX00066111,16,3.3119325
JAX00412975,16,3.3124995
JAX00412976,16,3.312551
UNC26280441,16,3.3187005
JAX00412979,16,3.322544
JAX00066113,16,3.3271345
JAX00066114,16,3.3304045
JAX00412983,16,3.330457
JAX00412984,16,3.3411965
JAX00412989,16,3.3448135
UNC26281353,16,3.3590545
JAX00412992,16,3.366435
JAX00412994,16,3.3705355
JAX00412995,16,3.370599
JAX00412996,16,3.3706095
UNC160010398,16,3.3747285
JAX00413000,16,3.3815195
JAX00413003,16,3.3847495
JAX00413004,16,3.388612
JAX00413005,16,3.3899475
JAX00066121,16,3.391452
JAX00413006,16,3.3917185
JAX00066122,16,3.395934
JAX00413014,16,3.4049495
JAX00066124,16,3.4051875
JAX00413019,16,3.413288
JAX00413020,16,3.418685
UNC26283249,16,3.427723
JAX00413024,16,3.4283485
JAX00066128,16,3.4289315
JAX00413026,16,3.433909
JAX00066129,16,3.438433
JAX00413030,16,3.4421405
JAX00413031,16,3.443992
JAX00413035,16,3.449839
JAX00066130,16,3.449934
JAX00413036,16,3.456011
JAX00066131,16,3.4589845
JAX00413037,16,3.458995
JAX00066132,16,3.4590325
JAX00413038,16,3.460626
JAX00413044,16,3.467444
JAX00066133,16,3.4712955
UNC26284692,16,3.4717675
JAX00066134,16,3.4736325
JAX00066135,16,3.4739055
UNC160012210,16,3.473996
JAX00066136,16,3.488337
JAX00413054,16,3.4895165
UNC26285307,16,3.4930895
JAX00066137,16,3.496162
UNC26285513,16,3.498379
UNC26285827,16,3.50773
UNC26285976,16,3.513302
JAX00066139,16,3.5144415
JAX00413064,16,3.5166745
UNC26286121,16,3.519569
UNC26286240,16,3.52618
UNC26286388,16,3.5327525
UNC26286477,16,3.5365495
UNC26286717,16,3.5448545
JAX00066145,16,3.548211
JAX00413076,16,3.548336
UNC26286887,16,3.551624
JAX00413077,16,3.559693
JAX00413079,16,3.563693
UNC26287211,16,3.5639945
JAX00413081,16,3.5649265
UNC26287331,16,3.5679825
UNC26287572,16,3.577
JAX00413083,16,3.5827365
JAX00413084,16,3.583028
JAX00413085,16,3.583111
JAX00413086,16,3.5831765
UNC26287738,16,3.583878
JAX00413089,16,3.5899925
UNC26288014,16,3.5906645
UNC26288144,16,3.595799
JAX00066153,16,3.5979
UNC26288324,16,3.602736
JAX00066154,16,3.605113
JAX00413091,16,3.605184
JAX00066156,16,3.605672
UNC26288490,16,3.6081785
UNC26288600,16,3.6129145
JAX00066157,16,3.623486
JAX00066158,16,3.623497
backupUNC160014695,16,3.623826
JAX00413099,16,3.6250665
UNC26289039,16,3.6253225
JAX00066159,16,3.626927
JAX00413103,16,3.6305585
JAX00413104,16,3.63057
UNC26289351,16,3.633893
UNC26289520,16,3.6417385
JAX00413106,16,3.6417465
UNC26289624,16,3.646958
UNC26289734,16,3.653118
UNC26289978,16,3.6633125
UNC26290092,16,3.6661755
JAX00413111,16,3.666736
JAX00413112,16,3.668295
JAX00066163,16,3.6697375
JAX00413117,16,3.677973
UNC26290363,16,3.67839
JAX00413119,16,3.67922
JAX00413121,16,3.683437
JAX00066168,16,3.6981555
JAX00413128,16,3.709245
UNC26290998,16,3.7106665
JAX00413129,16,3.7111395
JAX00413131,16,3.724109
JAX00413138,16,3.733289
JAX00413140,16,3.735984
JAX00413141,16,3.736031
JAX00413144,16,3.7388255
JAX00413149,16,3.7469825
JAX00413150,16,3.747164
UNC26291920,16,3.7482245
JAX00066175,16,3.7525335
JAX00066177,16,3.760763
JAX00066179,16,3.769932
JAX00413159,16,3.777799
UNC26292717,16,3.7813755
JAX00066181,16,3.7864575
JAX00066182,16,3.786466
JAX00413165,16,3.786994
JAX00413166,16,3.787202
JAX00413169,16,3.7932875
JAX00413173,16,3.804228
JAX00066185,16,3.8121005
JAX00413177,16,3.815473
JAX00413179,16,3.816782
JAX00413184,16,3.8204155
JAX00188196,16,3.8233685
JAX00066188,16,3.8284645
JAX00413188,16,3.8408905
JAX00413193,16,3.8478115
JAX00066192,16,3.854926
JAX00066193,16,3.8637835
JAX00066194,16,3.8639395
JAX00413196,16,3.864595
JAX00413197,16,3.86724
JAX00413198,16,3.8835475
JAX00066197,16,3.890666
JAX00413202,16,3.897547
JAX00413205,16,3.901767
JAX00413206,16,3.90232
JAX00066200,16,3.910528
UNC160194228,16,3.9185495
UNC26296341,16,3.928339
JAX00413219,16,3.9319955
JAX00066203,16,3.9320285
JAX00413220,16,3.937891
JAX00066205,16,3.9443655
JAX00413229,16,3.963212
JAX00413230,16,3.963259
JAX00413234,16,3.9672655
JAX00066209,16,3.975011
JAX00413241,16,3.9799825
JAX00413243,16,3.9844005
UNC26297482,16,3.9849585
JAX00413244,16,3.98848
JAX00208252,16,4.011999
JAX00413245,16,4.022205
UNC26298171,16,4.0230945
JAX00413249,16,4.024403
JAX00413251,16,4.0250335
JAX00413252,16,4.025306
JAX00413253,16,4.0254375
JAX00413256,16,4.0282845
UNC26298376,16,4.03297
JAX00413260,16,4.0377105
UNC26298611,16,4.041377
JAX00066220,16,4.0450275
JAX00413261,16,4.0503375
UNC26299074,16,4.057208
JAX00413264,16,4.06058
JAX00413265,16,4.0606595
UNC26299295,16,4.063473
JAX00066224,16,4.073318
JAX00066225,16,4.073372
JAX00413272,16,4.074091
JAX00413273,16,4.0741885
JAX00413274,16,4.0742435
JAX00413278,16,4.0789975
UNC26299643,16,4.0795055
UNC26299831,16,4.086018
JAX00066226,16,4.0908595
UNC26299962,16,4.0912185
UNC26300274,16,4.1039525
UNC26300410,16,4.112667
JAX00413292,16,4.117134
UNC26300481,16,4.119078
JAX00413297,16,4.123365
UNC26300628,16,4.124452
JAX00413298,16,4.1247695
UNC26300718,16,4.132006
UNC26300806,16,4.137879
UNC26301010,16,4.152618
UNC26301227,16,4.162023
JAX00413307,16,4.1640455
JAX00413308,16,4.1642745
UNC26301376,16,4.166588
JAX00413312,16,4.1673405
UNC26301533,16,4.1747135
JAX00066239,16,4.177892
UNC26301733,16,4.1800395
JAX00066241,16,4.1899375
JAX00066243,16,4.1928595
JAX00413319,16,4.195252
UNC26302178,16,4.200043
UNC26302460,16,4.206817
