#
# nrow 11155
# ncol 3
marker,chromosome,bp
JAX00023788,11,3.113512
JAX00023791,11,3.142053
JAX00302683,11,3.143519
JAX00302685,11,3.163871
JAX00302687,11,3.170342
JAX00023795,11,3.18581
backupUNC110000218,11,3.255461
JAX00023801,11,3.258037
CEAJAX00023804,11,3.298316
JAX00023812,11,3.41407
JAX00302709,11,3.441662
JAX00023815,11,3.441937
JAX00302710,11,3.443135
JAX00302717,11,3.480466
JAX00302719,11,3.514895
JAX00302721,11,3.52437
JAX00302724,11,3.567482
JAX00023824,11,3.572551
JAX00023826,11,3.575741
JAX00302727,11,3.601304
UNC18992309,11,3.695106
JAX00302734,11,3.70274
UNC18992622,11,3.729216
JAX00302740,11,3.760007
UNC18992944,11,3.760679
JAX00023839,11,3.777123
UNC110237904,11,3.795136
JAX00302745,11,3.797269
JAX00302748,11,3.805196
JAX00023843,11,3.817083
UNC18993442,11,3.823611
UNC18993826,11,3.886373
JAX00302756,11,3.897354
JAX00023846,11,3.898634
UNC18993943,11,3.905383
JAX00302760,11,3.910613
JAX00302762,11,3.947194
JAX00302765,11,3.964549
UNC18994480,11,3.980895
JAX00302767,11,3.993295
UNC18994673,11,4.012275
JAX00023857,11,4.039875
UNC18994955,11,4.044876
JAX00023858,11,4.051394
JAX00023860,11,4.061936
UNC18995212,11,4.075189
UNC18995393,11,4.10188
JAX00023864,11,4.129179
UNC18995627,11,4.135972
JAX00023868,11,4.172536
UNC18995899,11,4.176587
JAX00302780,11,4.18177
JAX00302784,11,4.184632
JAX00197189,11,4.185093
JAX00302785,11,4.185361
JAX00302786,11,4.186858
JAX00023871,11,4.218268
UNC18996386,11,4.241565
UNC110238232,11,4.253018
JAX00023875,11,4.254623
UNC18996532,11,4.263009
UNC18996780,11,4.295703
UNC18997021,11,4.327807
UNC18997498,11,4.390624
JAX00023885,11,4.405132
JAX00302811,11,4.40516
JAX00302813,11,4.41597
UNC18997702,11,4.417084
JAX00023887,11,4.435769
JAX00023889,11,4.447839
UNC18998019,11,4.454802
UNC18998209,11,4.486369
JAX00023893,11,4.508771
JAX00302821,11,4.537383
JAX00023894,11,4.538453
UNC18998637,11,4.546971
JAX00302826,11,4.549525
JAX00023896,11,4.552514
UNC18998944,11,4.580335
JAX00023901,11,4.61323
UNC18999268,11,4.618728
JAX00302838,11,4.619293
JAX00302839,11,4.620591
UNC18999433,11,4.63257
JAX00302843,11,4.651161
JAX00302844,11,4.651347
JAX00302848,11,4.65219
JAX00302851,11,4.66158
JAX00302852,11,4.661882
JAX00302854,11,4.666936
JAX00302856,11,4.672183
JAX00023905,11,4.672502
JAX00302857,11,4.6771
JAX00302861,11,4.682168
UNC18999824,11,4.684492
JAX00302862,11,4.68565
JAX00302864,11,4.689554
JAX00302867,11,4.697044
UNC19000036,11,4.707326
JAX00302868,11,4.715022
JAX00302869,11,4.715071
JAX00302870,11,4.715947
JAX00023909,11,4.72066
JAX00302878,11,4.734109
JAX00302879,11,4.736203
JAX00302880,11,4.736846
UNC19000380,11,4.74347
JAX00197200,11,4.773611
UNC110000994,11,4.784953
JAX00023912,11,4.789392
