#
# nrow 8916
# ncol 3
marker,chr,pos
JAX00723415,X,2.495238
JAX00176639,X,2.511526
JAX00708539,X,2.515975
JAX00708542,X,2.5225515
JAX00708545,X,2.536906
JAX00176642,X,2.5383985
JAX00176643,X,2.5384325
UNC200000454,X,2.540183
JAX00708549,X,2.585499
JAX00176644,X,2.5939845
JAX00176645,X,2.5953235
JAX00708557,X,2.624991
JAX00708561,X,2.664041
JAX00708562,X,2.666101
JAX00176655,X,2.670633
JAX00708563,X,2.67869
JAX00708565,X,2.6794965
JAX00176658,X,2.689938
JAX00176659,X,2.690432
JAX00708567,X,2.6952075
JAX00708569,X,2.6973525
JAX00708570,X,2.7100285
JAX00176664,X,2.726378
JAX00176665,X,2.7265875
JAX00708577,X,2.7487035
JAX00176671,X,2.7701895
JAX00708583,X,2.7781525
JAX00176675,X,2.791605
JAX00238496,X,2.813936
JAX00708589,X,2.8156505
JAX00708591,X,2.8219635
JAX00176680,X,2.83088
JAX00176681,X,2.830973
UNC200282646,X,2.8337475
JAX00708596,X,2.838655
JAX00708598,X,2.838963
JAX00708599,X,2.839359
JAX00176687,X,2.872575
JAX00708604,X,2.8789855
JAX00708606,X,2.8801685
JAX00176689,X,2.8906405
UNC30610687,X,2.91737
JAX00708617,X,2.9222625
JAX00176694,X,2.9236435
UNC30610936,X,2.9363125
JAX00708618,X,2.9458675
JAX00708619,X,2.945879
JAX00708621,X,2.947145
UNC30611222,X,2.95673
JAX00708628,X,2.967011
JAX00176701,X,2.969018
UNC200880603,X,2.969149
JAX00708630,X,2.9732695
UNC30611560,X,2.9748245
UNC30611835,X,2.992313
JAX00708634,X,2.9969145
JAX00708635,X,2.9978695
JAX00708636,X,3.003783
JAX00176706,X,3.006003
JAX00176708,X,3.007101
UNC30612242,X,3.015402
JAX00176709,X,3.0231305
UNC30612502,X,3.0318575
JAX00708639,X,3.0385135
JAX00708642,X,3.0505115
JAX00176713,X,3.0513675
JAX00176714,X,3.051387
UNC30612732,X,3.0516755
UNC200285015,X,3.0527775
JAX00176716,X,3.071214
JAX00708647,X,3.079075
UNC30613121,X,3.088687
JAX00708655,X,3.0979525
JAX00708656,X,3.0979655
JAX00708657,X,3.097974
JAX00708659,X,3.1057645
JAX00708661,X,3.1063085
JAX00708662,X,3.10647
UNC30613443,X,3.1123085
JAX00708665,X,3.115404
UNC30613748,X,3.1311185
UNC30613972,X,3.147801
UNC30614256,X,3.1647205
JAX00708680,X,3.169279
UNC30614439,X,3.1794425
UNC30614443,X,3.2046045
JAX00708681,X,3.211174
JAX00708684,X,3.213594
JAX00176736,X,3.219306
UNC30614651,X,3.2208575
JAX00708688,X,3.2268345
JAX00708691,X,3.2272515
JAX00176740,X,3.239752
UNC30615033,X,3.243141
JAX00708697,X,3.2520685
UNC30615269,X,3.255047
JAX00176744,X,3.2754725
JAX00176746,X,3.282156
backupUNC200287049,X,3.287711
UNC30615721,X,3.2984585
JAX00708707,X,3.310647
JAX00176750,X,3.3198395
UNC30616085,X,3.320355
JAX00176752,X,3.320664
JAX00708710,X,3.330664
JAX00708711,X,3.3310365
JAX00708712,X,3.331249
JAX00708713,X,3.3312765
JAX00708714,X,3.3313395
JAX00708716,X,3.3341325
JAX00176753,X,3.335991
JAX00708719,X,3.343227
JAX00708721,X,3.3540575
UNC30616738,X,3.3566025
JAX00238508,X,3.3576075
JAX00176756,X,3.358303
UNC30616923,X,3.3687775
JAX00708722,X,3.370218
UNC30617733,X,3.4126345
JAX00708733,X,3.4180275
JAX00176766,X,3.4192545
JAX00708735,X,3.420483
JAX00708737,X,3.4323875
UNC30618178,X,3.4338
JAX00176769,X,3.439569
UNC30618375,X,3.4455105
JAX00708740,X,3.44827
UNC30618429,X,3.448545
UNC30618581,X,3.458717
JAX00176772,X,3.4618985
JAX00176773,X,3.4619065
UNC30618863,X,3.480303
JAX00708744,X,3.4819145
