#
# nrow 12950
# ncol 3
marker,chromosome,bp
JAX00115398,4,3.321326
JAX00115403,4,3.392913
JAX00543609,4,3.407935
JAX00115407,4,3.45799
JAX00115409,4,3.46232
JAX00543629,4,3.4918
JAX00115412,4,3.495096
UNC6636974,4,3.49706
JAX00543630,4,3.498156
JAX00115413,4,3.523469
JAX00115415,4,3.535442
JAX00222321,4,3.586616
JAX00115418,4,3.59181
JAX00543642,4,3.592476
JAX00115420,4,3.629978
JAX00115421,4,3.630817
JAX00115422,4,3.641823
JAX00543645,4,3.641918
JAX00115424,4,3.651507
JAX00543648,4,3.669108
UNC040001211,4,3.679243
UNC6638575,4,3.702681
JAX00543651,4,3.705014
JAX00115426,4,3.705311
JAX00543652,4,3.705794
JAX00543656,4,3.715392
JAX00543657,4,3.71543
JAX00543658,4,3.715482
JAX00115430,4,3.759378
UNC6639515,4,3.785255
JAX00115433,4,3.78756
JAX00543676,4,3.806643
JAX00115436,4,3.8259
JAX00543681,4,3.827884
JAX00543682,4,3.845216
UNC6640040,4,3.846113
JAX00115439,4,3.860314
JAX00543688,4,3.918495
JAX00115445,4,3.943455
JAX00543693,4,3.94553
UNC6641184,4,3.963173
JAX00115448,4,3.983547
JAX00543699,4,4.034499
JAX00115451,4,4.035474
UNC6641778,4,4.039399
JAX00115453,4,4.05911
JAX00115457,4,4.103971
UNC6642538,4,4.117477
JAX00222337,4,4.131889
JAX00543710,4,4.148366
JAX00543711,4,4.154749
JAX00115460,4,4.155962
JAX00543712,4,4.160532
JAX00543714,4,4.182854
UNC6643327,4,4.187865
JAX00543715,4,4.188034
JAX00115463,4,4.188193
JAX00543722,4,4.242428
UNC6643932,4,4.252607
JAX00543726,4,4.265207
JAX00543727,4,4.26556
JAX00543728,4,4.266141
JAX00543733,4,4.291696
JAX00543738,4,4.304889
JAX00543739,4,4.308439
JAX00543743,4,4.324265
JAX00543749,4,4.3697
UNC6645521,4,4.370744
JAX00543753,4,4.371804
JAX00543758,4,4.396487
UNC040001583,4,4.411775
JAX00115481,4,4.421876
JAX00543761,4,4.427185
JAX00543764,4,4.435378
JAX00543766,4,4.439007
JAX00543768,4,4.455759
JAX00543771,4,4.483248
UNC6646662,4,4.483945
JAX00189357,4,4.48504
JAX00115485,4,4.499806
JAX00543776,4,4.515836
JAX00115490,4,4.541842
JAX00222345,4,4.541912
UNC6647492,4,4.542417
JAX00222346,4,4.549601
JAX00115491,4,4.566051
JAX00115492,4,4.566246
JAX00543786,4,4.577949
JAX00115493,4,4.593913
UNC6648335,4,4.618552
JAX00115496,4,4.6188
JAX00543791,4,4.628592
JAX00543797,4,4.641843
JAX00543798,4,4.644121
JAX00543802,4,4.652673
JAX00543803,4,4.654359
UNC040386948,4,4.66036
JAX00543807,4,4.68105
UNC6649201,4,4.683369
JAX00115500,4,4.700501
JAX00115501,4,4.700641
JAX00543811,4,4.703706
JAX00543814,4,4.725887
JAX00543815,4,4.73171
JAX00543818,4,4.745878
JAX00543819,4,4.749698
JAX00115506,4,4.778976
JAX00115507,4,4.779593
JAX00115508,4,4.780176
JAX00543827,4,4.788931
UNC6650781,4,4.798115
JAX00543835,4,4.802351
JAX00115509,4,4.806464
JAX00115511,4,4.833841
JAX00543838,4,4.84641
JAX00115512,4,4.857786
UNC6651698,4,4.878592
JAX00543850,4,4.885981
JAX00115516,4,4.908542
JAX00115518,4,4.936482
JAX00222354,4,4.952156
UNC6652554,4,4.962791
JAX00222355,4,4.995031
JAX00543862,4,5.026978
UNC6653465,4,5.04611
JAX00543868,4,5.064844
JAX00115530,4,5.098585
JAX00543874,4,5.110397
UNC6654411,4,5.130361
JAX00115533,4,5.137867
JAX00543879,4,5.143182
JAX00115535,4,5.1459
JAX00543881,4,5.159695
JAX00222360,4,5.167568
JAX00115536,4,5.179555
JAX00115538,4,5.180245
JAX00543885,4,5.202159
UNC6655563,4,5.219226
JAX00115541,4,5.221957
JAX00543890,4,5.228789
JAX00543892,4,5.250714
JAX00115543,4,5.262982
JAX00543894,4,5.287085
JAX00543896,4,5.2888
JAX00115551,4,5.363014
JAX00543901,4,5.376136
JAX00543909,4,5.438904
JAX00115557,4,5.458036
JAX00222365,4,5.463675
UNC6658366,4,5.465248
JAX00115560,4,5.497671
JAX00115561,4,5.498009
JAX00115562,4,5.498113
JAX00115563,4,5.526215
JAX00543915,4,5.538888
JAX00115565,4,5.539478
UNC6659478,4,5.549362
JAX00115566,4,5.5647
JAX00115567,4,5.565026
JAX00115568,4,5.565119
JAX00543917,4,5.565429
